Name,Skittles,M&Ms,KitKat
Canadian tiger swallowtail butterfly,1,75,68
Southern hairy-nosed wombat,73,33,33
Kirk's dik dik,50,47,22
Burchell's gonolek,87,54,88
Salmon pink bird eater tarantula,31,20,34
"Egret, cattle",70,19,86
Northern elephant seal,44,35,58
Tasmanian devil,4,43,30
"Stork, black-necked",73,32,64
Arctic lemming,75,20,86
"Armadillo, seven-banded",33,65,83
North American river otter,1,16,5
"Dunnart, fat-tailed",85,11,18
Chameleon (unidentified),33,16,67
Praying mantis (unidentified),24,65,69
Cattle egret,98,45,33
Rainbow lory,82,94,43
"Dragon, frilled",19,16,91
Wild boar,60,25,86
"Lion, southern sea",52,92,69
Stick insect,60,26,9
"Phalarope, red-necked",10,28,89
Blesbok,45,1,64
Tarantula,23,40,49
Kaffir cat,90,29,77
"Egret, snowy",19,14,82
Malleefowl,3,10,25
"Sheep, american bighorn",40,48,12
"Squirrel, grey-footed",85,40,54
Sandhill crane,69,32,19
"Toucan, white-throated",71,20,64
Toddy cat,37,22,82
Arctic tern,34,74,20
Australian brush turkey,52,67,94
Ring-necked pheasant,60,8,10
"Cormorant, pied",100,21,44
Green heron,8,26,28
"Darter, african",50,87,73
"Pie, indian tree",89,44,100
"Tortoise, burmese brown mountain",33,82,69
Chital,56,54,91
Common langur,84,11,30
Asian foreset tortoise,82,59,25
"Squirrel, indian giant",19,18,9
"Deer, white-tailed",23,98,80
Southern sea lion,68,39,32
Eastern cottontail rabbit,100,54,17
"Hedgehog, south african",52,22,78
White-winged dove,96,77,60
"Lion, steller's sea",24,47,28
Rufous-collared sparrow,64,37,83
"Ibis, glossy",50,99,23
Red-billed buffalo weaver,72,17,67
"Phalarope, red-necked",9,6,60
"Crow, pied",17,31,43
Anaconda (unidentified),63,46,54
"Skunk, striped",68,26,55
"Fox, bat-eared",100,27,95
"Pheasant, common",91,45,77
"Pie, rufous tree",22,40,9
"Vulture, white-rumped",45,50,99
Long-finned pilot whale,96,2,43
"Cat, jungle",4,79,90
Hawk-headed parrot,27,34,53
Black-cheeked waxbill,60,17,54
Worm snake (unidentified),54,4,46
"Stork, marabou",55,37,84
"Heron, little",4,32,73
"Gull, swallow-tail",6,9,88
"Cat, tiger",42,45,70
Galapagos dove,51,58,43
Red-billed toucan,37,2,7
"Tern, white-winged",39,77,58
Dromedary camel,15,50,22
"Goose, cereopsis",91,42,38
Common genet,65,100,81
"Lizard, mexican beaded",73,85,21
"Zorro, azara's",75,46,15
Civet cat,95,24,34
"Tortoise, radiated",67,62,86
"Cockatoo, sulfur-crested",94,10,55
Tayra,38,63,58
"Duiker, common",40,1,47
"Goldeneye, common",78,18,23
Sable antelope,26,58,79
Grey-footed squirrel,14,17,41
"Deer, white-tailed",61,86,96
"Viper, egyptian",62,7,71
"Boubou, southern",10,97,36
Crab-eating raccoon,13,23,21
"Penguin, galapagos",5,82,4
Nyala,49,75,21
Feral rock pigeon,52,82,28
"Flamingo, greater",98,49,63
